tissue,ptwas_category,number_of_genes_tissue,number_of_genes_topbottom,category_count,total_count,upper_count,lower_count,upper_or,lower_or,phyper_upper,phyper_lower,phyper_upper_bh_adj,phyper_lower_bh_adj
blood,Cardiometabolic,6647,333,5326,1355,54,73,0.788624135280554,1.08190327613105,0.971441399117562,0.215112742480125,0.999999919631852,0.580590273138377
blood,Blood,6647,333,12207,3159,165,162,1.04709418837675,1.02702702702703,0.207394427999579,0.31630099175848,0.850289071910054,0.674033242288115
blood,Cancer,6647,333,516,114,6,5,1.05555555555556,0.871559633027523,0.345690016394103,0.510932312555054,0.999999919631852,0.778239896300644
blood,Immune,6647,333,4016,1051,60,47,1.15035317860747,0.889442231075697,0.11450515316992,0.784721275660409,0.664773831133919,0.869403427710094
blood,Psychiatric_neurologic,6647,333,7386,1831,69,104,0.744040862656073,1.14418066010423,0.997915398620613,0.0553508232144569,0.999999919631852,0.314949624723584
blood,Allergy,6647,333,1569,428,33,16,1.5873417721519,0.737864077669903,0.00461353695129578,0.873482086560347,0.0789427433888388,0.940032666003705
blood,Anthropometric,6647,333,10677,2598,102,150,0.776442307692308,1.16421568627451,0.999380254476528,0.0098973378372274,0.999999919631852,0.117245386687155
blood,Aging,6647,333,122,27,4,1,3.30434782608696,0.730769230769231,0.00993648447837054,0.39507733511665,0.127518217472422,0.713313478005157
blood,Endocrine system disease,6647,333,1642,473,34,27,1.47152619589977,1.15022421524664,0.0120203287310819,0.200171436973586,0.142163523879675,0.579576674120114
blood,Skeletal system disease,6647,333,203,54,4,3,1.52,1.11764705882353,0.132015397184571,0.28500693335982,0.664773831133919,0.649412086023623
blood,Morphology,6647,333,1236,284,10,15,0.693430656934307,1.05947955390335,0.851254990872535,0.349422665394445,0.999999919631852,0.689885775265955
breast,Cardiometabolic,12713,636,5326,2510,126,126,1.00419463087248,1.00419463087248,0.458456487072901,0.458456487072901,0.999999919631852,0.755011159144263
breast,Blood,12713,636,12207,5636,238,298,0.837717673212301,1.06069689022106,0.999828412029736,0.0878830812376068,0.999999919631852,0.420356964225465
breast,Cancer,12713,636,516,242,15,9,1.25550660792952,0.733905579399142,0.155735049065166,0.776102641160342,0.675683693477811,0.869403427710094
breast,Immune,12713,636,4016,1874,95,93,1.01461495222035,0.9921392476137,0.415953011312275,0.506669095326799,0.999999919631852,0.778239896300644
breast,Psychiatric_neurologic,12713,636,7386,3333,136,203,0.808257741632781,1.23226837060703,0.997797466434337,0.000421546600012473,0.999999919631852,0.0129836352803842
breast,Allergy,12713,636,1569,753,47,40,1.26487252124646,1.06591865357644,0.0487813624960965,0.306822673236887,0.441901754376404,0.674033242288115
breast,Anthropometric,12713,636,10677,4780,224,279,0.934152765583846,1.17773828038214,0.89076795777487,0.000385968148865221,0.999999919631852,0.0129836352803842
breast,Aging,12713,636,122,54,3,2,1.11764705882353,0.730769230769231,0.284303004904524,0.511498537585194,0.939186166645883,0.778239896300644
breast,Endocrine system disease,12713,636,1642,795,52,45,1.32974427994616,1.14,0.0192058904684906,0.16734590609055,0.197180475476504,0.515425390758893
breast,Skeletal system disease,12713,636,203,103,7,5,1.38541666666667,0.969387755102041,0.143651519440006,0.41156900261382,0.664773831133919,0.713313478005157
breast,Morphology,12713,636,1236,555,31,34,1.12404580152672,1.23992322456814,0.224822358399952,0.0929931993495887,0.850289071910054,0.421204491171667
colon,Cardiometabolic,10405,521,5326,2231,98,100,0.872948898265354,0.891600187705303,0.927580372954177,0.891218157899086,0.999999919631852,0.946535147010064
colon,Blood,10405,521,12207,5015,217,252,0.859316381825761,1.00524879277766,0.998782352588239,0.450114652255493,0.999999919631852,0.753452787471152
colon,Cancer,10405,521,516,211,11,12,1.045,1.14572864321608,0.367005364521855,0.259269496863313,0.999999919631852,0.633769881221431
colon,Immune,10405,521,4016,1665,93,77,1.12404580152672,0.921284634760705,0.108254828712394,0.762271729268387,0.664773831133919,0.869403427710094
colon,Psychiatric_neurologic,10405,521,7386,2971,113,164,0.751224632610217,1.11008193801211,0.999837029820525,0.0596887601768257,0.999999919631852,0.31696789887004
colon,Allergy,10405,521,1569,658,45,35,1.39477977161501,1.06741573033708,0.0129239567163341,0.312026341950907,0.142163523879675,0.674033242288115
colon,Anthropometric,10405,521,10677,4217,211,232,1.00074887668497,1.10614805520703,0.486327417492058,0.025709089853325,0.999999919631852,0.197959991870602
colon,Aging,10405,521,122,52,3,1,1.16326530612245,0.372549019607843,0.2622656492776,0.741999174469871,0.897531333083341,0.869403427710094
colon,Endocrine system disease,10405,521,1642,717,61,31,1.76676829268293,0.858600583090379,1.36377912558147e-05,0.780015233774609,0.000350036642232577,0.869403427710094
colon,Skeletal system disease,10405,521,203,89,7,5,1.6219512195122,1.13095238095238,0.0769118535889698,0.286753388633807,0.570208485624099,0.649412086023623
colon,Morphology,10405,521,1236,483,24,23,0.993464052287582,0.95,0.461621135550269,0.546786319667161,0.999999919631852,0.778239896300644
fat,Cardiometabolic,11884,595,5326,2358,122,128,1.03667262969589,1.09058295964126,0.317104777784244,0.135786361730471,0.999999919631852,0.515425390758893
fat,Blood,11884,595,12207,5325,259,271,0.971377812870115,1.0187969924812,0.725866401247375,0.339149369392606,0.999999919631852,0.684258053047787
fat,Cancer,11884,595,516,222,14,5,1.27884615384615,0.43778801843318,0.146768248432164,0.969306119747887,0.664773831133919,0.991105853881303
fat,Immune,11884,595,4016,1773,98,90,1.11164179104478,1.01604278074866,0.126045253431876,0.414420774913635,0.664773831133919,0.713313478005157
fat,Psychiatric_neurologic,11884,595,7386,3128,128,184,0.810666666666667,1.1875,0.996851618277868,0.00431488833574346,0.999999919631852,0.0652292248419686
fat,Allergy,11884,595,1569,705,41,31,1.17319277108434,0.873887240356083,0.135560150111126,0.746421366754139,0.664773831133919,0.869403427710094
fat,Anthropometric,11884,595,10677,4491,194,248,0.857807772864789,1.11053499882159,0.996029090167909,0.0205622317358852,0.999999919631852,0.173717372800699
fat,Aging,11884,595,122,53,1,2,0.365384615384615,0.745098039215686,0.751362334314665,0.499437511274091,0.999999919631852,0.778239896300644
fat,Endocrine system disease,11884,595,1642,742,51,39,1.40231548480463,1.05405405405405,0.0083433612236564,0.334527929122,0.1248860371977,0.684258053047787
fat,Skeletal system disease,11884,595,203,101,5,6,0.989583333333334,1.2,0.394229923188424,0.241868535247415,0.999999919631852,0.61061892505085
fat,Morphology,11884,595,1236,520,18,25,0.681274900398407,0.95959595959596,0.944841295916507,0.532659870943039,0.999999919631852,0.778239896300644
immune,Cardiometabolic,8245,413,5326,1781,85,90,0.952240566037736,1.01123595505618,0.672565520897236,0.433221900401477,0.999999919631852,0.733144754525577
immune,Blood,8245,413,12207,4092,220,202,1.07954545454545,0.986632390745501,0.0584157289115365,0.598509840659432,0.497456483717921,0.80851329352239
immune,Cancer,8245,413,516,155,9,8,1.17123287671233,1.03401360544218,0.249190128986607,0.373284530049473,0.872165451453123,0.709701452192825
immune,Immune,8245,413,4016,1375,94,57,1.39422326307572,0.821699544764795,0.000413832375583253,0.940766742748809,0.00910431226283157,0.972336096532326
immune,Psychiatric_neurologic,8245,413,7386,2397,98,119,0.809917355371901,0.992537313432836,0.992559538914761,0.522400930681562,0.999999919631852,0.778239896300644
immune,Allergy,8245,413,1569,539,49,23,1.9,0.846899224806202,1.35336180301538e-05,0.758520871760018,0.000350036642232577,0.869403427710094
immune,Anthropometric,8245,413,10677,3355,135,186,0.796583850931677,1.11517828968129,0.9996409000235,0.0294353346411431,0.999999919631852,0.215859120701716
immune,Aging,8245,413,122,36,4,1,2.375,0.542857142857143,0.0322526177020652,0.544775318577087,0.310431445382378,0.778239896300644
immune,Endocrine system disease,8245,413,1642,617,55,27,1.85943060498221,0.869491525423729,7.54142535518169e-06,0.738701561682959,0.000290344876174495,0.869403427710094
immune,Skeletal system disease,8245,413,203,73,5,3,1.39705882352941,0.814285714285714,0.157952032241566,0.500893003092421,0.675683693477811,0.778239896300644
immune,Morphology,8245,413,1236,370,16,25,0.858757062146893,1.3768115942029,0.680895659702784,0.0497951061191042,0.999999919631852,0.314949624723584
kidney,Cardiometabolic,12262,614,5326,2437,111,108,0.9067067927773,0.881064834693001,0.863139107713133,0.921258984673056,0.999999919631852,0.965128460133677
kidney,Blood,12262,614,12207,5461,240,265,0.873395901168359,0.969014626635874,0.997078828080577,0.745882669344168,0.999999919631852,0.869403427710094
kidney,Cancer,12262,614,516,230,12,12,1.04587155963303,1.04587155963303,0.366923147666714,0.366923147666714,0.999999919631852,0.706327059258425
kidney,Immune,12262,614,4016,1804,85,85,0.939499709133217,0.939499709133217,0.711015795418836,0.711015795418836,0.999999919631852,0.869403427710094
kidney,Psychiatric_neurologic,12262,614,7386,3245,126,181,0.767553703109971,1.12238903394256,0.999726658876904,0.0382784739709305,0.999999919631852,0.256299347457535
kidney,Allergy,12262,614,1569,727,38,35,1.04789550072569,0.960982658959538,0.349182094367343,0.553927643173849,0.999999919631852,0.778239896300644
kidney,Anthropometric,12262,614,10677,4631,213,245,0.916025350837483,1.06133150934793,0.942445501579599,0.122739256174211,0.999999919631852,0.503738875639814
kidney,Aging,12262,614,122,54,1,4,0.358490566037736,1.52,0.760605015264415,0.132195003695657,0.999999919631852,0.515425390758893
kidney,Endocrine system disease,12262,614,1642,761,44,42,1.16596931659693,1.10987482614743,0.13700239159563,0.222433935812755,0.664773831133919,0.580590273138377
kidney,Skeletal system disease,12262,614,203,98,3,6,0.6,1.23913043478261,0.729931054155336,0.219601361678531,0.999999919631852,0.580590273138377
kidney,Morphology,12262,614,1236,530,16,32,0.591439688715953,1.22088353413655,0.984380443120756,0.114483345758462,0.999999919631852,0.495191925708623
liver,Cardiometabolic,8748,438,5326,1762,76,90,0.856465005931198,1.02272727272727,0.925817771069389,0.386428411233707,0.999999919631852,0.713313478005157
liver,Blood,8748,438,12207,4032,186,223,0.918876755070203,1.11236545024941,0.93500351890222,0.016838304874779,0.999999919631852,0.172873263381064
liver,Cancer,8748,438,516,155,9,5,1.17123287671233,0.633333333333333,0.2488517695061,0.79534651138728,0.872165451453123,0.874881162526008
liver,Immune,8748,438,4016,1349,64,63,0.946303501945525,0.930793157076205,0.655858744222154,0.704982154521608,0.999999919631852,0.869403427710094
liver,Psychiatric_neurologic,8748,438,7386,2377,91,152,0.756342957130359,1.29797752808989,0.9990435614528,0.000153827549157909,0.999999919631852,0.0129836352803842
liver,Allergy,8748,438,1569,536,29,23,1.08678500986193,0.851851851851852,0.286634739171146,0.747785210544943,0.939186166645883,0.869403427710094
liver,Anthropometric,8748,438,10677,3399,163,196,0.957045735475896,1.16266000624415,0.748660837170921,0.00427101059816637,0.999999919631852,0.0652292248419686
liver,Aging,8748,438,122,43,2,3,0.926829268292683,1.425,0.365730218139705,0.166741062434211,0.999999919631852,0.515425390758893
liver,Endocrine system disease,8748,438,1642,572,29,25,1.01473296500921,0.86837294332724,0.422397317830214,0.7278979196856,0.999999919631852,0.869403427710094
liver,Skeletal system disease,8748,438,203,72,2,5,0.542857142857143,1.41791044776119,0.706555695737455,0.150714167395952,0.999999919631852,0.515425390758893
liver,Morphology,8748,438,1236,369,14,32,0.749295774647887,1.80415430267062,0.833718656422273,0.000819019163385552,0.999999919631852,0.0210214918602292
lung,Cardiometabolic,12497,625,5326,2476,110,129,0.88334742180896,1.04431188751598,0.916410900406052,0.27762241192733,0.999999919631852,0.647785627830437
lung,Blood,12497,625,12207,5581,245,260,0.872376311844078,0.92839691787258,0.997335040776522,0.93808867677083,0.999999919631852,0.972336096532326
lung,Cancer,12497,625,516,234,11,11,0.937219730941704,0.937219730941704,0.506876564820654,0.506876564820654,0.999999919631852,0.778239896300644
lung,Immune,12497,625,4016,1858,103,90,1.11509971509972,0.967194570135747,0.112222457323098,0.605697844076009,0.664773831133919,0.811108417284394
lung,Psychiatric_neurologic,12497,625,7386,3289,123,174,0.738155401137082,1.06131621187801,0.999956555365394,0.175197429271291,0.999999919631852,0.529027531525074
lung,Allergy,12497,625,1569,748,46,36,1.24501424501425,0.960674157303371,0.0613745012379253,0.553609443320004,0.497456483717921,0.778239896300644
lung,Anthropometric,12497,625,10677,4698,209,260,0.884606816662954,1.11311401532222,0.9849833338571,0.0156273209794723,0.999999919631852,0.171900530774196
lung,Aging,12497,625,122,53,1,4,0.365384615384615,1.55102040816327,0.750772572926587,0.124299203079954,0.999999919631852,0.503738875639814
lung,Endocrine system disease,12497,625,1642,792,47,38,1.19865771812081,0.957559681697613,0.0943523452099291,0.565685971193265,0.660466416469504,0.781228303529119
lung,Skeletal system disease,12497,625,203,99,3,4,0.59375,0.8,0.736307519980479,0.555885640214746,0.999999919631852,0.778239896300644
lung,Morphology,12497,625,1236,547,18,23,0.646502835538752,0.833969465648855,0.967715904579977,0.777175835448699,0.999999919631852,0.869403427710094
neuron,Cardiometabolic,9585,480,5326,2064,99,115,0.957251908396947,1.12108773730118,0.667127014402524,0.0846076742469845,0.999999919631852,0.420309091420504
neuron,Blood,9585,480,12207,4575,198,244,0.859492803289925,1.07042253521127,0.997997268707959,0.0745531043673436,0.999999919631852,0.382705935752364
neuron,Cancer,9585,480,516,188,10,10,1.06741573033708,1.06741573033708,0.341463881882195,0.341463881882195,0.999999919631852,0.684258053047787
neuron,Immune,9585,480,4016,1481,60,80,0.802251935256862,1.08493932905068,0.964271212606956,0.204642008665784,0.999999919631852,0.579576674120114
neuron,Psychiatric_neurologic,9585,480,7386,2778,92,154,0.65078183172003,1.11509146341463,0.999999700677788,0.0572044758317697,0.999999919631852,0.314949624723584
neuron,Allergy,9585,480,1569,569,26,32,0.9097605893186,1.13221601489758,0.645345027164751,0.210755154225496,0.999999919631852,0.579576674120114
neuron,Anthropometric,9585,480,10677,3935,173,224,0.873737373737374,1.14686068445163,0.987921994897746,0.0046592303458549,0.999999919631852,0.0652292248419686
neuron,Aging,9585,480,122,44,1,5,0.441860465116279,2.43589743589744,0.654441248862139,0.0214326628780084,0.999999919631852,0.173717372800699
neuron,Endocrine system disease,9585,480,1642,625,28,35,0.891122278056951,1.1271186440678,0.695964399393643,0.210068088042881,0.999999919631852,0.579576674120114
neuron,Skeletal system disease,9585,480,203,82,3,6,0.721518987341772,1.5,0.593336661872471,0.115759151464353,0.999999919631852,0.495191925708623
neuron,Morphology,9585,480,1236,438,22,21,1.00480769230769,0.956834532374101,0.437639570250585,0.526636550872359,0.999999919631852,0.778239896300644
prostate,Cardiometabolic,12487,625,5326,2470,118,127,0.953231292517007,1.02987622705933,0.699015582192174,0.342129026523894,0.999999919631852,0.684258053047787
prostate,Blood,12487,625,12207,5554,247,285,0.884303749764462,1.02770924274056,0.994248032723407,0.267270753155639,0.999999919631852,0.643120249780757
prostate,Cancer,12487,625,516,238,12,8,1.00884955752212,0.660869565217391,0.413570735917477,0.848378786266108,0.999999919631852,0.920072768204089
prostate,Immune,12487,625,4016,1852,83,75,0.891464104013567,0.801913337084975,0.856289540967687,0.978588298670445,0.999999919631852,0.991105853881303
prostate,Psychiatric_neurologic,12487,625,7386,3301,135,187,0.810170562223626,1.14097623635196,0.997559582692214,0.0200249171828407,0.999999919631852,0.173717372800699
prostate,Allergy,12487,625,1569,743,45,30,1.22492836676218,0.799438990182328,0.0777557025851045,0.878991583795673,0.570208485624099,0.940032666003705
prostate,Anthropometric,12487,625,10677,4708,229,251,0.971422192453673,1.07000224366166,0.697786456462343,0.0900764923340283,0.999999919631852,0.420356964225465
prostate,Aging,12487,625,122,55,1,3,0.351851851851852,1.09615384615385,0.76929033340357,0.295967403429012,0.999999919631852,0.660564929392288
prostate,Endocrine system disease,12487,625,1642,776,38,48,0.978319783197832,1.25274725274725,0.514158267517212,0.0538196129396311,0.999999919631852,0.314949624723584
prostate,Skeletal system disease,12487,625,203,102,5,5,0.979381443298969,0.979381443298969,0.402993214322048,0.402993214322048,0.999999919631852,0.713313478005157
prostate,Morphology,12487,625,1236,552,22,32,0.788679245283019,1.16923076923077,0.847691156154356,0.1647709686466,0.999999919631852,0.515425390758893
skin,Cardiometabolic,12148,608,5326,2409,111,122,0.9177545691906,1.0135548753826,0.827804032367633,0.416620422071872,0.999999919631852,0.713313478005157
skin,Blood,12148,608,12207,5446,236,249,0.860652591170825,0.91033288435636,0.998783687396573,0.973466369828182,0.999999919631852,0.991105853881303
skin,Cancer,12148,608,516,228,15,10,1.33802816901408,0.871559633027523,0.10843432507874,0.593861425704114,0.664773831133919,0.80851329352239
skin,Immune,12148,608,4016,1814,92,67,1.0150987224158,0.728677733257012,0.416271739739865,0.99751505999798,0.999999919631852,0.99751505999798
skin,Psychiatric_neurologic,12148,608,7386,3216,127,168,0.781158951116866,1.04724409448819,0.999366079653687,0.237463952830132,0.999999919631852,0.609490812264005
skin,Allergy,12148,608,1569,725,40,24,1.10948905109489,0.650499286733238,0.226375662002027,0.984670101583373,0.850289071910054,0.991105853881303
skin,Anthropometric,12148,608,10677,4624,209,252,0.899433748584372,1.09515096065874,0.970469763653078,0.0359726411944906,0.999999919631852,0.251808488361434
skin,Aging,12148,608,122,52,0,1,0,0.372549019607843,0.931142940386927,0.741658668759552,0.999999919631852,0.869403427710094
skin,Endocrine system disease,12148,608,1642,755,44,30,1.17580872011252,0.786206896551724,0.12493632457858,0.898181400521816,0.664773831133919,0.947396819728491
skin,Skeletal system disease,12148,608,203,94,3,3,0.626373626373627,0.626373626373627,0.698952195522205,0.698952195522205,0.999999919631852,0.869403427710094
skin,Morphology,12148,608,1236,538,22,24,0.810077519379845,0.88715953307393,0.813365122888113,0.68060580756935,0.999999919631852,0.869403427710094
stomach,Cardiometabolic,11834,593,5326,2354,104,123,0.878222222222222,1.04751232631107,0.923789676412581,0.277220777619376,0.999999919631852,0.647785627830437
stomach,Blood,11834,593,12207,5329,222,269,0.825925200704915,1.0100790513834,0.999926212568769,0.416871513119897,0.999999919631852,0.713313478005157
stomach,Cancer,11834,593,516,222,13,14,1.18181818181818,1.27884615384615,0.223967563576647,0.147469044838881,0.850289071910054,0.515425390758893
stomach,Immune,11834,593,4016,1762,77,87,0.868249258160238,0.986865671641791,0.900810452841135,0.532487080994321,0.999999919631852,0.778239896300644
stomach,Psychiatric_neurologic,11834,593,7386,3137,136,194,0.861046317894035,1.25246347264696,0.977072237045618,0.000239659402461419,0.999999919631852,0.0129836352803842
stomach,Allergy,11834,593,1569,713,39,39,1.09940652818991,1.09940652818991,0.247990817215739,0.247990817215739,0.872165451453123,0.61597719114877
stomach,Anthropometric,11834,593,10677,4516,230,266,1.01959869342044,1.18917647058824,0.356714212478528,0.000271756041707495,0.999999919631852,0.0129836352803842
stomach,Aging,11834,593,122,53,2,1,0.745098039215686,0.365384615384615,0.500014432466858,0.751792347601565,0.999999919631852,0.869403427710094
stomach,Endocrine system disease,11834,593,1642,743,43,46,1.16714285714286,1.25394548063128,0.138813055819848,0.0572635681315608,0.664773831133919,0.314949624723584
stomach,Skeletal system disease,11834,593,203,97,6,5,1.25274725274725,1.03260869565217,0.212796414138952,0.358788708043264,0.850289071910054,0.699410899223577
stomach,Morphology,11834,593,1236,522,18,26,0.678571428571429,0.995967741935484,0.947462215541285,0.460850967269875,0.999999919631852,0.755011159144263
thyroid,Cardiometabolic,12562,629,5326,2464,127,120,1.03252032520325,0.972696245733788,0.332701166281926,0.613221542070743,0.999999919631852,0.814104461024952
thyroid,Blood,12562,629,12207,5571,278,291,0.997921783487625,1.04715909090909,0.514193497784531,0.150696062858599,0.999999919631852,0.515425390758893
thyroid,Cancer,12562,629,516,233,12,9,1.0316742081448,0.763392857142857,0.384538039184759,0.736123448210626,0.999999919631852,0.869403427710094
thyroid,Immune,12562,629,4016,1866,133,85,1.45816503173687,0.906793935991016,5.33335773996745e-06,0.818778493251876,0.000273779030651662,0.894268708941765
thyroid,Psychiatric_neurologic,12562,629,7386,3300,127,191,0.760479041916168,1.16725635252493,0.999836935932611,0.00794699633941058,0.999999919631852,0.101986453022436
thyroid,Allergy,12562,629,1569,744,67,33,1.88035450516987,0.881856540084388,8.49818112030045e-07,0.737979332183146,6.54359946263135e-05,0.869403427710094
thyroid,Anthropometric,12562,629,10677,4705,199,260,0.839103417665335,1.11136107986502,0.998967269163569,0.0180471162735293,0.999999919631852,0.17370349413272
thyroid,Aging,12562,629,122,56,2,4,0.703703703703704,1.46153846153846,0.536836742829716,0.14763434070506,0.999999919631852,0.515425390758893
thyroid,Endocrine system disease,12562,629,1642,789,73,37,1.93715083798883,0.934840425531915,9.45934943829281e-08,0.624945794310388,1.45673981349709e-05,0.822578224989741
thyroid,Skeletal system disease,12562,629,203,102,4,3,0.775510204081633,0.575757575757576,0.583781868710921,0.758112071689684,0.999999919631852,0.869403427710094
thyroid,Morphology,12562,629,1236,549,15,28,0.533707865168539,1.021113243762,0.994849966131536,0.409646192267164,0.999999919631852,0.713313478005157
across,Cardiometabolic,13143,658,5326,2575,118,133,0.912494912494913,1.03480753480754,0.853330142545361,0.319509264201509,0.999999919631852,0.674033242288115
across,Blood,13143,658,12207,5815,242,304,0.825049345056523,1.04808564688804,0.999959748255258,0.140778916724219,0.999999919631852,0.515425390758893
across,Cancer,13143,658,516,250,13,10,1.042194092827,0.791666666666667,0.371951515801534,0.712946289355472,0.999999919631852,0.869403427710094
across,Immune,13143,658,4016,1940,92,95,0.945887445887446,0.978319783197832,0.695957353021748,0.568166038930269,0.999999919631852,0.781228303529119
across,Psychiatric_neurologic,13143,658,7386,3434,116,203,0.664255575647981,1.19374806561436,0.999999919631852,0.00231212400582553,0.999999919631852,0.0489079590267529
across,Allergy,13143,658,1569,778,53,40,1.38896551724138,1.02981029810298,0.00892043122840714,0.38842097656777,0.1248860371977,0.713313478005157
across,Anthropometric,13143,658,10677,4921,211,280,0.851167728237792,1.14630467571644,0.998179075075413,0.00254067319619495,0.999999919631852,0.0489079590267529
across,Aging,13143,658,122,57,1,2,0.339285714285714,0.690909090909091,0.786331049444265,0.548816956159261,0.999999919631852,0.778239896300644
across,Endocrine system disease,13143,658,1642,819,57,46,1.42125984251969,1.13065976714101,0.00451277996506043,0.180414700979349,0.0789427433888388,0.534305075977302
across,Skeletal system disease,13143,658,203,106,4,7,0.745098039215686,1.34343434343434,0.617973326744731,0.161354895818523,0.999999919631852,0.515425390758893
across,Morphology,13143,658,1236,571,19,33,0.653985507246377,1.16542750929368,0.968090596976078,0.166825781470499,0.999999919631852,0.515425390758893
